date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:14	6065/6065	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Apr%202018%2000:01:40%20GMT	http://mobapps.bid/js/validator.min.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/validator.min.js	(from http://mobapps.bid/)
17:45:15	12859/12859	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Apr%202018%2000:01:40%20GMT	http://mobapps.bid/js/ion.sound.min.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/ion.sound.min.js	(from http://mobapps.bid/)
17:45:15	3951/3951	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Apr%202018%2000:01:38%20GMT	http://mobapps.bid/js/typed.min.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/typed.min.js	(from http://mobapps.bid/)
17:45:15	1523/1523	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Apr%202018%2000:01:38%20GMT	http://mobapps.bid/js/form-scripts.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/form-scripts.js	(from http://mobapps.bid/)
17:45:15	21148/21148	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Apr%202018%2000:01:40%20GMT	http://mobapps.bid/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/jquery.magnific-popup.min.js	(from http://mobapps.bid/)
17:45:16	21035/21035	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Apr%202018%2002:30:26%20GMT	http://mobapps.bid/js/stickyWZOR.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/stickyWZOR.js	(from http://mobapps.bid/)
17:45:16	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:17%20GMT	http://mobapps.bid/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/glyphicons-halflings-regular.eot	(from http://mobapps.bid/css/bootstrap.min.css)
17:45:17	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:18%20GMT	http://mobapps.bid/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/glyphicons-halflings-regulard41d.eot	(from http://mobapps.bid/css/bootstrap.min.css)
17:45:17	69737/69737	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Apr%202018%2002:29:40%20GMT	http://mobapps.bid/js/mainWZOR.js	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/js/mainWZOR.js	(from http://mobapps.bid/)
17:45:17	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:18%20GMT	http://mobapps.bid/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/glyphicons-halflings-regular.woff2	(from http://mobapps.bid/css/bootstrap.min.css)
17:45:17	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:18%20GMT	http://mobapps.bid/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/glyphicons-halflings-regular.woff	(from http://mobapps.bid/css/bootstrap.min.css)
17:45:18	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:19%20GMT	http://mobapps.bid/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/glyphicons-halflings-regular.ttf	(from http://mobapps.bid/css/bootstrap.min.css)
17:45:18	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:19%20GMT	http://mobapps.bid/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/glyphicons-halflings-regular.svg	(from http://mobapps.bid/css/bootstrap.min.css)
17:45:18	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:19%20GMT	http://mobapps.bid/fonts/supercell-magic.eot	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/supercell-magic.eot	(from http://mobapps.bid/css/style.css)
17:45:18	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:19%20GMT	http://mobapps.bid/fonts/supercell-magic-.eot	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/supercell-magic-.eot	(from http://mobapps.bid/css/style.css)
17:45:19	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:20%20GMT	http://mobapps.bid/fonts/supercell-magic.woff	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/supercell-magic.woff	(from http://mobapps.bid/css/style.css)
17:45:19	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:20%20GMT	http://mobapps.bid/fonts/supercell-magic.ttf	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/supercell-magic.ttf	(from http://mobapps.bid/css/style.css)
17:45:19	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:20%20GMT	http://mobapps.bid/fonts/supercell-magic.svg	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/supercell-magic.svg	(from http://mobapps.bid/css/style.css)
17:45:19	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:21%20GMT	http://mobapps.bid/fonts/et-line.eot	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/et-line.eot	(from http://mobapps.bid/css/style.css)
17:45:20	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:21%20GMT	http://mobapps.bid/fonts/et-line.eot?	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/et-lined41d.eot	(from http://mobapps.bid/css/style.css)
17:45:20	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:21%20GMT	http://mobapps.bid/fonts/et-line.woff	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/et-line.woff	(from http://mobapps.bid/css/style.css)
17:45:20	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:21%20GMT	http://mobapps.bid/fonts/et-line.ttf	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/et-line.ttf	(from http://mobapps.bid/css/style.css)
17:45:21	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202019%2012:00:22%20GMT	http://mobapps.bid/fonts/et-line.svg	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/fonts/et-line.svg	(from http://mobapps.bid/css/style.css)
17:45:21	172/172	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Apr%202018%2000:01:42%20GMT	http://mobapps.bid/img/dotted-bg-overlay.png	C:/My%20Web%20Sites/Harry%20potter/mobapps.bid/img/dotted-bg-overlay.png	(from http://mobapps.bid/css/style.css)
